Baumuster,Modelo,Perna,Gargalo,Quinta Roda
C951102,815 / CHASSI 4X2,1,Não,Não
C951104,1016 / CHASSI 4X2,1,Não,Não
C951111,1316 / CHASSI 6X2,1,Não,Não
C951500,14../4X2 CHASSI 4X2,1,Não,Não
C951501,17../4X2 CHASSI 4X2,1,Sim,Sim
C951511,24../6X2 CHASSI 6X2,1,Não,Não
C951514,27../6X4 CHASSI 6X4,1,Não,Não
C951530,33../8X4 CHASSI 8X4,1,Sim,Não
C951544,30../8X2 CHASSI 8X2,1,Sim,Não
C968403,1933LS/4X2 CAVALO MECANICO 4X2,1,Não,Não
C968114,28../6X4,1,Sim,Sim
C963400,18.. S 4X2 STEELSUSPENSION,2,Sim,Sim
C963403,18.. LS 4X2 AIRSUSPENSION,2,Sim,Sim
C963411,26.. S 6X2 STEELSUSPENSION,2,Sim,Sim
C963414,26.. S 6X4 STEELSUSPENSION,2,Sim,Sim
C963424,26.. LS 6X4 AIR SUSPENSION,2,Sim,Sim
C963425,26.. LS 6X2 AIR SUSPENSION,2,Sim,Sim
C964016,33.. 6X4 STEELSUSPENSION,2,Sim,Não
C964216,33.. K 6X4 STEEL SUSPENSION,2,Sim,Não
C964231,41.. K 8X4/4,2,Sim,Não
C964416,33 S 6X4 STEEL SUSPENSION,2,Sim,Sim
C968150,18.. 4X2,2,Sim,Não
C968450,18.. S 4X2,2,Sim,Sim
C968453,18.. LS 4X2,2,Sim,Sim
C968461,26.. S 6X2,2,Sim,Sim
C968475,26.. LS 6X2,2,Sim,Sim
